	West-Terschelling	Kuinder	Steenbergen	Gits
spuwen	spiˑə̆n			spy̞ɣ̠ə̃
duwen	drʏkən	drʏk̬ŋ̩	dɔ̞ˑwə	dyˑw̃
hebben	hɑ̟bə	h̆ɛmˑ	ɛbə	ɛ̃ˑn
stuk	stɪk	stʏk	stʏk	stɪ̞k
brug	brʏx	brʏɣə	bʀʏɣ	brʏ̞ɣ̠ə
veulen	fɔlʲtsə	v̥oːl	fø̞ˑlən	kɑx̠tl̩
komen	kʊmə	kʊ̝mˑ	kʊmə	kʊm
deur	doˑə̆r	dœ̝ːrə	døˑʀ	dø̞ːr
naaien	nɑːĭjə			nʊˑĩ̆
gras	xɛs	ɣrœs	ɣʀas	ɣ̠æs
brouwer	brɔŭwər			brʊwə̆rə
bakken	bɑ̟kə	bɑk̬ŋ̩	bakə	bɑʔn
je	do̞	i	jə	ɣ̠ə
eieren	ɑːə̆jən	ɛĭər	ɛˑjəʀs	ɛˑjərs
krijgen	kriˑjə	kriŋˑ	kʀɛˑɣən	kriɣ̠ə̃̃n
markt	mɑ̟rək / mɑrəkt			mɑrt
waren	wɑːrə̃	ʋaːr̆n̩	wɔˑʀə / wɑˑʀə	wʊ̞ˑə̆rn
vijf	fiːf	vɛĭf	vɛˑĭf	vy̞f
eikels	ɛikəls			ɪ̝ˑə̆ʔls
hooi	heˑə̆	oːj	oˑj̆	o̞ˑĭj
is	ɪz	ɪs̬	ɪs	ɪ̞z
groen	xriˑə̆n	ɣrøːn	xʀuˑn	x̠rûˑnə
boompje	boːmkə	boːmpin	bʊmkə	bo̝ˑə̆mtʃ̆ə
wijn	ʋin	ʋin	wɛˑn	wi̞n
huis	hyːs	hys̬	œˑz	y̞z
melk	mʊə̆lək	mɛlə̆k	mɛ̞lək	mæˑl̆k
spuit	spœĭt	spœĭt		spɛˑĭt
koe	ku	kuˑ	kuˑj	ku̞ˑ
koster	kɔstər	kɔstər̆	kɔstəʀ	kɔstə̆rə
kruiwagen	krødʋɛin			kɔrtəwʊˑɣ̠n
buigen	buːɣə	byːɡŋ̩	bœˑɣə	
Duitsers	dytsərs			dy̞tsʲx̠ə
blauw	blɑːŭ	blɔŭw	blɑˑŭw	blʊw
geslagen	slɛin	slø̞ːɡŋ̩	ɣəsloˑɣə	ɣ̠əsleˑɣ̠ə̃
saus	sjy	v̥ɛt	so̞ˑŭz	sʊˑls
flauw		flɔŭw	flaˑŭw	flʊw
sneeuw	sneː	snɪ̞j̆	snɪəw	snɪ̝ˑə̆
stad	stɑ̟t			ste̞ː
doen	dweˑə̆n	dũˑn̆	dun	dûˑn
dopen	doːpə	døːpm̩	dʊːpə	doˑpm
doopvont	doːpfʊnt			dɔpfũ̞n̆tə
soldaten	sɔldɑːtən			sʊ̞ldɔːtn
dorsen	tɛskjə	dɔ̠sn̩	dʏsə	dæsʲx̠n
binden	binə	binˑ	bɪnɪ̆	bin̩ˑ
gebonden	boŋ			ɣ̠əbũ̞nd̞̆n
